time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-13T08:18:02.368Z,-22.1206,-175.6017,10,4.7,mb,,88,6.117,1.04,us,us70003k9v,2019-05-13T10:00:38.040Z,"110km SSW of Vaini, Tonga",earthquake,10.3,1.9,0.06,84,reviewed,us,us
2019-05-13T07:49:44.340Z,36.279,-97.5022,5.49,2.9,mb_lg,,27,0.214,0.2,us,us70003k8v,2019-05-13T20:20:04.819Z,"19km W of Perry, Oklahoma",earthquake,0.8,3.3,0.055,85,reviewed,us,us
2019-05-13T07:47:43.064Z,53.8193,-163.341,24.8,3.8,ml,,,,0.69,ak,ak019642xcrr,2019-05-13T16:53:26.964Z,"114km S of False Pass, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2019-05-13T07:24:20.450Z,18.3383,-66.1683,55,2.6,md,11,198,0.0896,0.17,pr,pr2019133002,2019-05-13T20:09:11.507Z,"6km S of Bayamon, Puerto Rico",earthquake,0.84,0.74,0.29,11,reviewed,pr,pr
2019-05-13T07:10:28.567Z,-12.1885,-74.8297,54.13,5.2,mb,,85,1.978,1.25,us,us70003k8m,2019-05-13T18:46:59.398Z,"24km NNE of Pampas, Peru",earthquake,7.2,6,0.029,388,reviewed,us,us
2019-05-13T05:11:23.110Z,18.6893,-64.2523,54,2.79,md,7,346,1.6877,0.21,pr,pr2019133001,2019-05-13T08:20:55.120Z,"48km NE of Road Town, British Virgin Islands",earthquake,4.39,13.14,0.12,6,reviewed,pr,pr
2019-05-13T05:01:47.595Z,30.5677,143.6087,10,5,mb,,144,3.678,0.75,us,us70003k7k,2019-05-13T05:15:35.040Z,"Izu Islands, Japan region",earthquake,8.9,1.9,0.09,39,reviewed,us,us
2019-05-13T03:59:43.228Z,5.6594,125.7217,146.68,4.5,mb,,107,1.408,0.82,us,us70003k75,2019-05-13T21:02:59.270Z,"25km ESE of Kalbay, Philippines",earthquake,6.9,7.4,0.068,64,reviewed,us,us
2019-05-13T03:47:50.924Z,63.0115,-150.9919,123.1,2.8,ml,,,,0.55,ak,ak019640jmzi,2019-05-13T03:55:41.154Z,"88km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-05-13T03:39:59.340Z,12.9221,-85.6405,10,4.2,ml,,207,0.47,0.51,us,us70003kme,2019-05-13T20:54:40.040Z,"17km N of Muy Muy, Nicaragua",earthquake,3.7,2,0.097,14,reviewed,us,us
2019-05-13T03:23:27.730Z,36.1223333,-117.6681667,2.82,2.9,ml,31,43,0.07002,0.16,ci,ci38591624,2019-05-13T04:13:47.936Z,"27km ENE of Coso Junction, CA",earthquake,0.27,0.95,0.171,25,automatic,ci,ci
2019-05-13T03:20:28.785Z,-4.0346,142.2505,130.03,4.7,mb,,69,5.478,0.79,us,us70003k6v,2019-05-13T03:39:27.040Z,"69km WNW of Ambunti, Papua New Guinea",earthquake,9.7,7.4,0.046,142,reviewed,us,us
2019-05-13T02:58:48.407Z,25.6094,141.4328,84.44,4.5,mb,,125,1.626,0.73,us,us70003k6n,2019-05-13T03:42:51.040Z,"92km N of Iwo Jima, Japan",earthquake,12,7.3,0.053,104,reviewed,us,us
2019-05-13T02:21:18.930Z,44.5585,-114.2716667,10.35,2.54,ml,14,54,0.242,0.18,mb,mb80343569,2019-05-13T14:02:24.800Z,"6km NNW of Challis, Idaho",earthquake,0.87,1.47,0.331,15,reviewed,mb,mb
2019-05-13T02:11:05.051Z,-32.8503,-178.839,35,5.1,mb,,85,5.249,0.76,us,us70003k6k,2019-05-13T03:02:08.040Z,"157km S of L'Esperance Rock, New Zealand",earthquake,12.9,1.9,0.106,29,reviewed,us,us
2019-05-13T01:43:43.620Z,40.2473335,-124.158165,10.59,2.52,md,16,84,0.01055,0.16,nc,nc73180910,2019-05-13T09:00:46.308Z,"14km SE of Petrolia, CA",earthquake,0.49,0.65,0.16,7,automatic,nc,nc
2019-05-13T01:31:23.790Z,18.3711,-65.9905,128,2.85,md,6,332,0.659,0.47,pr,pr2019133000,2019-05-13T05:36:50.900Z,"2km NE of Trujillo Alto, Puerto Rico",earthquake,8.22,3.32,0.45,4,reviewed,pr,pr
2019-05-13T01:01:52.489Z,9.586,-84.4034,29.83,4.5,mb,,156,0.421,1,us,us70003k5w,2019-05-14T05:10:04.714Z,"11km NW of Parrita, Costa Rica",earthquake,4,5.9,0.062,77,reviewed,us,us
2019-05-13T00:43:33.362Z,79.4078,123.8974,10,5.4,mb,,20,7.911,0.73,us,us70003k5r,2019-05-14T00:50:32.044Z,"East of Severnaya Zemlya",earthquake,8.1,1.8,0.021,777,reviewed,us,us
2019-05-12T23:25:46.820Z,15.0987,-94.0584,35,4.2,mb,,188,2.193,0.87,us,us70003k5f,2019-05-13T02:26:03.768Z,"101km SSW of Tres Picos, Mexico",earthquake,8.5,2,0.062,73,reviewed,us,us
2019-05-12T22:24:09.800Z,39.2809,27.9195,10,4.1,mb,,56,0.933,0.74,us,us70003k54,2019-05-13T01:56:18.536Z,"22km SW of Bigadic, Turkey",earthquake,2.9,1.9,0.175,9,reviewed,us,us
2019-05-12T21:52:11.082Z,-17.7026,-69.4644,157.52,4.6,mb,,95,0.113,0.98,us,us70003k4p,2019-05-12T22:05:49.040Z,"55km N of Putre, Chile",earthquake,7.9,6.8,0.109,25,reviewed,us,us
2019-05-12T21:17:14.033Z,-5.7993,151.082,35,4.8,mb,,112,1.927,0.58,us,us70003k4j,2019-05-12T21:59:43.040Z,"107km ESE of Kimbe, Papua New Guinea",earthquake,11.9,2,0.128,19,reviewed,us,us
2019-05-12T21:11:40.138Z,14.8834,-45.0696,10,4.8,mb,,66,15.477,0.62,us,us70003k4c,2019-05-12T21:32:40.040Z,"Northern Mid-Atlantic Ridge",earthquake,10.8,1.9,0.04,193,reviewed,us,us
2019-05-12T21:08:30.838Z,-11.9545,165.4592,10,5,mb,,169,5.965,0.75,us,us70003k4f,2019-05-13T05:11:04.581Z,"142km SSW of Lata, Solomon Islands",earthquake,15.6,2,0.051,124,reviewed,us,us
2019-05-12T19:26:58.826Z,66.1465,-141.9491,1.3,3.4,ml,,,,0.68,ak,ak01962meqv5,2019-05-12T20:59:31.839Z,"105km ENE of Circle, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-05-12T19:24:50.517Z,8.6091,-82.8387,19,6.1,mww,,43,0.236,1.38,us,us70003k3p,2019-05-13T19:27:04.785Z,"8km N of Canoas, Costa Rica",earthquake,4.7,1.7,0.041,58,reviewed,us,us
2019-05-12T17:29:46.954Z,29.969,67.9539,10,4.4,mb,,146,4.65,1.14,us,us70003k36,2019-05-12T19:09:07.040Z,"14km S of Harnai, Pakistan",earthquake,9,1.9,0.12,20,reviewed,us,us
2019-05-12T16:44:17.883Z,-21.3007,-67.9127,186.98,4.4,mb,,41,1.332,0.59,us,us70003k2u,2019-05-12T17:55:58.040Z,"146km SW of Uyuni, Bolivia",earthquake,9,7.1,0.134,16,reviewed,us,us
2019-05-12T15:25:40.448Z,-11.9769,165.4692,10,5.1,mb,,75,5.983,0.75,us,us70003k28,2019-05-12T16:11:19.040Z,"144km SSW of Lata, Solomon Islands",earthquake,11.3,1.9,0.037,240,reviewed,us,us
2019-05-12T14:46:45.887Z,29.281,53.1571,10,4.4,mb,,64,5.101,0.6,us,us70003k1y,2019-05-12T15:23:33.040Z,"36km E of Akbarabad, Iran",earthquake,8.7,1.9,0.084,41,reviewed,us,us
2019-05-12T14:37:23.513Z,29.1621,-97.4739,5,3.1,mb_lg,,147,0.712,0.5,us,us70003k1t,2019-05-13T02:17:50.829Z,"19km WNW of Cuero, Texas",earthquake,5.8,2,0.061,70,reviewed,us,us
2019-05-12T12:35:53.840Z,38.8216667,-122.7878342,1.02,2.46,md,38,30,0.01008,0.05,nc,nc73180710,2019-05-12T14:11:03.914Z,"6km W of Cobb, CA",earthquake,0.14,0.21,0.1,19,automatic,nc,nc
2019-05-12T10:00:01.290Z,19.228,121.1144,10,4.7,mb,,119,3.572,0.61,us,us70003k0v,2019-05-12T11:20:40.040Z,"68km N of Claveria, Philippines",earthquake,9.2,1.9,0.067,68,reviewed,us,us
2019-05-12T09:28:27.520Z,18.012,-67.9901,84,2.68,md,4,341,0.8805,0.2,pr,pr2019132008,2019-05-12T15:34:14.225Z,"76km SE of Punta Cana, Dominican Republic",earthquake,9.37,8.5,0.01,3,reviewed,pr,pr
2019-05-12T08:59:53.598Z,19.4192,121.0283,20.48,5.4,mww,,46,3.382,1.11,us,us70003k0h,2019-05-13T09:02:45.894Z,"90km N of Claveria, Philippines",earthquake,7.7,4.5,0.068,21,reviewed,us,us
2019-05-12T08:51:44.252Z,-6.5306,104.6109,57.04,4.9,mb,,68,2.713,1.38,us,us70003k07,2019-05-12T10:00:47.763Z,"114km W of Cangkeuteuk Sabrang, Indonesia",earthquake,7.9,8.4,0.092,37,reviewed,us,us
2019-05-12T08:18:38.225Z,15.4788,-78.1313,10,4.5,mb,,36,2.791,1.14,us,us70003jzx,2019-05-12T08:32:50.040Z,"270km SSW of Rocky Point, Jamaica",earthquake,6.4,1.9,0.044,152,reviewed,us,us
2019-05-12T08:13:16.980Z,39.3179,-99.4142,5,2.6,mb_lg,,80,0.562,1.02,us,us70003jzw,2019-05-13T07:28:46.590Z,"13km NW of Plainville, Kansas",earthquake,5.1,2,0.06,72,reviewed,us,us
2019-05-12T08:06:41.490Z,40.5973333,-124.8203333,23.7,2.62,md,33,276,0.3876,0.19,nc,nc73180645,2019-05-14T04:49:03.305Z,"47km W of Ferndale, CA",earthquake,1.34,10.47,0.219,28,reviewed,nc,nc
2019-05-12T07:28:08.776Z,3.9283,-73.8963,10,4.5,mb,,65,1.004,1.08,us,us70003jzm,2019-05-13T13:08:01.104Z,"15km WNW of Guamal, Colombia",earthquake,6.2,1.9,0.1,29,reviewed,us,us
2019-05-12T06:42:23.668Z,-22.0551,-69.9974,41.29,4.1,mb,,154,0.226,0.46,us,us70003jzk,2019-05-12T08:21:13.040Z,"21km E of Tocopilla, Chile",earthquake,5.1,11.8,0.3,3,reviewed,us,us
2019-05-12T06:21:35.440Z,19.0833,-64.2888,52,3.27,md,12,345,1.8219,0.49,pr,pr2019132005,2019-05-12T09:00:37.877Z,"81km NNE of Road Town, British Virgin Islands",earthquake,6.92,29.61,0.34,9,reviewed,pr,pr
2019-05-12T06:07:45.377Z,32.7046,132.3158,36.34,4.7,mb,,101,1.281,0.48,us,us70003jzi,2019-05-12T11:28:35.739Z,"46km WSW of Sukumo, Japan",earthquake,7.6,8.8,0.092,36,reviewed,us,us
2019-05-12T06:01:02.150Z,18.9915,-66.8351,8,2.76,md,13,265,0.5923,0.48,pr,pr2019132007,2019-05-12T09:26:59.363Z,"55km N of Hatillo, Puerto Rico",earthquake,2.48,4.059,0.23,9,reviewed,pr,pr
2019-05-12T05:58:20.693Z,66.2854,-156.9372,0,2.6,ml,,,,1.01,ak,ak01962e9g96,2019-05-12T07:46:05.040Z,"68km S of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-05-12T05:52:25.260Z,38.8025017,-122.7808304,3.05,2.5,md,40,37,,0.06,nc,nc73180580,2019-05-12T08:27:03.703Z,"4km NW of The Geysers, CA",earthquake,0.17,0.32,0.12,20,automatic,nc,nc
2019-05-12T05:16:22.634Z,56.1381,163.8864,10,4.3,mb,,93,4.36,0.72,us,us70003jz5,2019-05-12T05:39:17.040Z,"88km E of Ust'-Kamchatsk Staryy, Russia",earthquake,9.2,1.8,0.073,52,reviewed,us,us
2019-05-12T04:51:18.120Z,19.3961667,-155.2581667,1.79,2.73,ml,25,49,0.007706,0.08,hv,hv70947896,2019-05-13T18:36:43.704Z,"4km SSW of Volcano, Hawaii",earthquake,0.18,0.18,0.206,29,reviewed,hv,hv
2019-05-12T04:51:05.470Z,19.3981667,-155.2611694,1.87,2.89,ml,22,87,0.004591,0.13,hv,hv70947891,2019-05-12T12:53:42.939Z,"4km SW of Volcano, Hawaii",earthquake,0.2,0.27,2.8,33,automatic,hv,hv
2019-05-12T04:21:14.300Z,19.1938,-66.6156,12,2.87,md,15,291,0.7219,0.46,pr,pr2019132004,2019-05-12T09:00:09.805Z,"80km N of Arecibo, Puerto Rico",earthquake,7.67,10.75,0.13,10,reviewed,pr,pr
2019-05-12T04:10:41.280Z,19.5535,-66.5403,41,2.53,md,4,331,1.4818,0.15,pr,pr2019132003,2019-05-12T08:59:45.893Z,"120km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,2.74,13.66,0.06,3,reviewed,pr,pr
2019-05-12T03:38:50.940Z,19.1806,-68.6405,44,2.48,md,8,230,0.7153,0.48,pr,pr2019132002,2019-05-12T08:58:56.685Z,"48km ENE of Miches, Dominican Republic",earthquake,8.47,17.15,0.56,3,reviewed,pr,pr
2019-05-12T02:50:58.959Z,-3.6273,35.6901,10,4.2,mb,,139,2.666,0.71,us,us70003k4y,2019-05-12T22:13:03.040Z,"30km NE of Mbulu, Tanzania",earthquake,12.2,2,0.175,9,reviewed,us,us
2019-05-12T02:50:54.551Z,61.4813,-146.4028,10.3,2.9,ml,,,,0.98,ak,ak01962cfidy,2019-05-12T03:25:16.040Z,"39km N of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-05-12T02:48:07.066Z,31.1173,-103.2115,3.16,2.9,ml,,52,0.219,0.39,us,us70003jxk,2019-05-12T03:03:06.040Z,"40km NW of Fort Stockton, Texas",earthquake,1.7,5.7,0.081,64,reviewed,us,us
2019-05-12T02:47:44.560Z,-17.8372,-178.6144,566.45,4.6,mb,,80,3.176,1.23,us,us70003jxr,2019-05-12T03:12:52.040Z,"264km SE of Lambasa, Fiji",earthquake,11.4,7.2,0.028,369,reviewed,us,us
2019-05-12T02:16:59.194Z,63.5927,-147.7657,3.8,2.5,ml,,,,0.81,ak,ak01962c88dm,2019-05-12T02:50:06.040Z,"63km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-05-12T01:58:40.256Z,4.6815,-82.683,10,4.5,mb,,138,3.758,1.4,us,us70003jxc,2019-05-12T20:02:39.758Z,"South of Panama",earthquake,7.5,1.9,0.054,98,reviewed,us,us
2019-05-11T23:43:41.927Z,0.5633,122.3219,111.19,4.6,mb,,59,1.633,1.08,us,us70003jx1,2019-05-11T23:59:14.040Z,"4km NW of Tilamuta, Indonesia",earthquake,6.5,7.6,0.094,34,reviewed,us,us
2019-05-11T23:09:51.314Z,-24.0004,-66.7482,198.26,4.1,mb,,78,1.677,0.65,us,us70003jwv,2019-05-11T23:26:20.040Z,"49km WNW of San Antonio de los Cobres, Argentina",earthquake,7.3,8.6,0.213,6,reviewed,us,us
2019-05-11T22:44:26.130Z,41.7608333,-126.1381667,23.73,2.96,md,19,291,1.495,0.25,nc,nc73180420,2019-05-14T04:19:03.131Z,"157km WSW of Brookings, OR",earthquake,3.9,19.73,0.137,14,reviewed,nc,nc
2019-05-11T22:25:29.040Z,41.7603333,-126.1241667,22.4,3.02,md,14,295,1.485,0.29,nc,nc73180405,2019-05-14T04:04:04.006Z,"156km WSW of Brookings, OR",earthquake,5.29,21.21,0.107,13,reviewed,nc,nc
2019-05-11T22:11:12.844Z,41.7964,-125.9619,7.74,4,mb,,213,1.358,1.13,us,us70003jwm,2019-05-14T03:49:02.384Z,"142km W of Brookings, Oregon",earthquake,5.7,8,0.134,15,reviewed,us,us
2019-05-11T21:55:28.400Z,40.0221,100.3393,10,4.2,mb,,154,8.945,0.76,us,us70003jwh,2019-05-11T22:09:17.040Z,"121km N of Zhangye, China",earthquake,6.9,2,0.086,37,reviewed,us,us
2019-05-11T21:16:50.055Z,34.7667,-97.5572,5,2.8,mb_lg,,30,0.141,0.46,us,us70003jw9,2019-05-12T03:38:17.684Z,"8km SSE of Lindsay, Oklahoma",earthquake,1.4,1.9,0.055,85,reviewed,us,us
2019-05-11T20:13:00.582Z,-6.0433,149.3629,58.18,5.1,mb,,52,3.341,0.84,us,us70003jvq,2019-05-11T20:45:15.040Z,"28km NW of Kandrian, Papua New Guinea",earthquake,6.7,7.1,0.079,53,reviewed,us,us
2019-05-11T19:52:08.055Z,66.3057,-157.5116,14.8,3,ml,,,,1.01,ak,ak01960z0uyj,2019-05-12T02:14:16.040Z,"72km SSW of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-05-11T18:51:03.102Z,28.92,81.6177,41.08,4.4,mb,,82,4.672,1.01,us,us70003jv2,2019-05-11T20:44:31.040Z,"12km NW of Dailekh, Nepal",earthquake,6.4,6.1,0.061,78,reviewed,us,us
2019-05-11T17:20:41.869Z,-1.6438,99.9339,44.98,4.5,mb,,102,2.247,1.08,us,us70003jul,2019-05-11T18:14:19.040Z,"74km WSW of Pasarbaru, Indonesia",earthquake,8.3,6.5,0.124,20,reviewed,us,us
2019-05-11T17:05:24.434Z,-41.9415,-74.227,41.3,4.3,mb,,201,0.522,0.52,us,us70003jue,2019-05-11T18:00:30.040Z,"34km WSW of Ancud, Chile",earthquake,5.2,11.5,0.534,1,reviewed,us,us
2019-05-11T16:06:14.920Z,-34.5835,179.9892,73.02,5.4,mww,,44,3.27,1.33,us,us70003jtm,2019-05-13T18:03:39.040Z,"South of the Kermadec Islands",earthquake,10.9,5.4,0.069,20,reviewed,us,us
